Amount,TimeOfDay,DaysSince,TransactionFreq,IsInternational,IsHighRiskCat,HasRecentFraud,FraudLabel
9010.36,4.95,40,0.151059,true,false,false,1
14529.50,2.60,57,0.172983,true,true,false,1
6872.16,5.19,31,0.139600,true,false,false,1
6856.96,1.87,15,0.198632,true,false,false,1
156.09,19.30,709,0.549402,false,false,false,0
337.86,7.26,776,0.559012,false,false,false,0
79.28,16.35,569,0.458566,false,false,false,0
14405.97,3.10,16,0.124296,false,true,false,1
276.30,17.90,617,0.684313,true,false,false,0
8806.77,4.12,66,0.117319,true,true,false,1
14922.82,1.13,57,0.193731,true,false,false,1
13.19,11.50,541,0.371261,false,false,false,0
240.73,10.39,563,0.575545,false,false,false,0
168.41,20.38,493,0.468346,false,true,false,0
369.35,10.00,841,0.589749,false,false,false,0
20.04,19.83,367,0.512589,false,false,false,0
319.13,17.55,1044,0.480972,false,false,false,0
223.08,19.14,1042,0.638707,false,true,false,0
342.03,10.06,559,0.323794,false,false,false,0
114.76,15.36,1042,0.606121,false,false,false,0
353.20,11.25,1085,0.669980,false,true,false,0
400.90,18.40,415,0.520973,false,false,false,0
8442.39,4.84,24,0.188014,true,true,false,1
147.89,16.72,692,0.399034,false,false,false,0
223.98,16.49,728,0.307565,false,false,false,0
40.78,20.37,395,0.562026,false,false,false,0
114.53,7.39,546,0.341323,false,false,false,0
12.57,10.65,442,0.482735,false,false,false,0
13434.06,1.60,60,0.062238,true,false,false,1
384.21,9.13,617,0.392690,false,false,false,0
178.22,17.81,1031,0.559714,false,false,false,0
11096.14,4.01,44,0.182135,false,true,true,1
114.74,7.11,752,0.670688,false,false,false,0
331.92,7.26,624,0.652024,true,false,false,0
5615.48,0.01,26,0.181985,false,true,false,1
16525.57,1.03,45,0.123238,true,false,false,1
169.10,20.09,948,0.507858,false,false,false,0
142.77,10.23,826,0.576571,false,false,false,0
105.91,18.44,1090,0.378778,false,false,false,0
15.14,17.70,682,0.609027,false,false,false,0
350.17,19.58,987,0.590588,false,false,false,0
9063.19,5.52,28,0.160704,true,false,false,1
374.00,14.14,907,0.392375,false,false,false,0
75.43,8.14,638,0.406027,true,false,false,0
378.11,16.72,1001,0.565530,false,false,false,0
137.42,9.57,746,0.376703,false,false,false,0
18490.37,0.75,45,0.148324,false,true,false,1
13.35,7.12,666,0.451437,false,false,false,0
14.02,17.75,539,0.371977,true,false,false,0
97.26,18.04,1029,0.437751,false,true,false,0
19354.25,5.05,53,0.105667,true,true,false,1
16471.05,4.70,39,0.122842,true,true,false,1
188.29,15.64,562,0.379967,false,false,false,0
109.31,15.90,677,0.428500,false,false,false,0
272.93,7.04,429,0.454852,false,false,false,0
13876.28,4.61,45,0.125600,false,false,false,1
17800.49,0.71,16,0.081020,false,true,true,1
250.89,9.49,788,0.488089,false,false,false,0
68.06,16.64,782,0.331380,true,false,false,0
285.54,19.67,1082,0.302234,true,false,false,0
181.48,17.24,921,0.329419,false,false,false,0
272.74,19.20,371,0.380752,false,false,false,0
10846.02,1.44,17,0.161644,true,true,true,1
17.42,10.96,465,0.564278,false,false,false,0
131.21,8.66,813,0.391689,false,true,false,0
302.69,10.33,498,0.395257,true,false,false,0
9281.92,4.31,36,0.083297,true,false,false,1
187.15,12.87,730,0.525589,true,false,false,0
200.74,16.91,670,0.466772,true,false,false,0
404.86,13.34,1074,0.335117,false,true,false,0
267.79,7.92,1007,0.371762,true,false,false,0
67.76,16.26,825,0.426008,false,false,false,0
8648.18,0.32,38,0.185407,true,true,false,1
379.69,11.68,929,0.501054,false,false,false,0
30.02,11.51,488,0.384540,false,false,false,0
195.87,10.08,835,0.546494,false,false,false,0
84.04,15.94,504,0.400516,true,false,false,0
6581.12,3.65,28,0.126349,true,false,false,1
269.96,19.27,634,0.503986,false,false,false,0
114.37,17.98,459,0.366768,false,false,false,0
50.24,7.51,679,0.465496,false,false,false,0
239.41,15.32,577,0.487699,false,false,false,0
9663.81,0.47,38,0.199926,true,false,false,1
12008.73,2.61,16,0.150109,true,false,false,1
322.74,20.12,563,0.383235,false,true,false,0
339.68,8.99,717,0.392090,false,false,false,0
408.63,16.91,519,0.636865,true,false,false,0
14798.00,0.25,60,0.121211,true,false,false,1
409.40,10.38,868,0.364007,false,false,false,0
8414.58,4.97,69,0.113606,true,true,false,1
130.23,19.19,642,0.687192,false,false,false,0
9721.72,3.26,46,0.177227,false,false,false,1
107.36,19.21,953,0.442663,false,false,false,0
77.65,18.79,416,0.667926,true,false,false,0
17096.16,4.99,19,0.056149,true,false,false,1
239.74,14.95,983,0.580709,false,false,false,0
11841.04,5.20,62,0.118519,false,true,false,1
122.96,16.55,964,0.539016,false,false,false,0
12007.23,0.99,49,0.079007,true,false,false,1
123.51,8.88,783,0.544315,false,false,false,0
283.85,10.94,928,0.363268,true,false,false,0
128.25,14.65,644,0.446013,false,false,false,0
12481.60,1.91,11,0.191938,true,false,true,1
18440.06,3.37,22,0.072316,true,true,true,1
61.47,8.58,742,0.527094,false,false,false,0
228.22,18.99,621,0.341541,true,false,false,0
18617.18,2.48,36,0.146309,true,true,false,1
229.36,9.18,504,0.510990,false,false,false,0
380.15,16.18,732,0.610720,false,true,false,0
213.70,16.53,470,0.540201,true,false,false,0
318.71,7.22,977,0.305893,false,false,false,0
7890.26,4.27,45,0.113196,true,true,false,1
12712.26,4.40,41,0.146918,false,true,false,1
47.65,12.22,803,0.573197,false,false,false,0
184.92,20.46,958,0.530642,true,false,true,0
80.32,12.68,670,0.646206,false,false,false,0
17.33,11.70,961,0.318683,false,true,false,0
48.58,14.33,556,0.680129,false,false,false,0
64.76,16.97,871,0.341661,false,false,false,0
33.67,18.96,843,0.405411,true,true,false,0
149.45,13.80,440,0.368365,false,false,false,0
155.55,10.64,499,0.309391,false,false,false,0
207.42,17.89,958,0.558524,false,false,false,0
7533.31,2.34,36,0.180062,false,true,false,1
75.41,18.74,841,0.678476,false,false,false,0
18.90,9.01,584,0.369209,false,false,false,0
319.13,11.38,880,0.546749,false,true,false,0
154.77,8.95,383,0.426357,false,true,false,0
258.89,11.18,384,0.425624,false,false,false,0
93.75,10.64,964,0.483446,false,false,false,0
5160.01,3.73,51,0.179931,true,true,false,1
16445.44,5.90,15,0.159794,true,false,false,1
85.05,18.25,857,0.633651,false,false,false,0
19780.59,1.27,35,0.198707,true,false,false,1
7991.16,0.26,27,0.162328,false,true,false,1
15893.21,3.37,16,0.073118,false,true,true,1
17964.82,4.51,19,0.165202,false,false,false,1
46.88,18.09,795,0.525137,false,false,false,0
15.74,8.17,388,0.581867,false,true,false,0
18791.21,4.21,22,0.172442,true,false,true,1
140.36,7.11,391,0.692104,false,false,false,0
239.13,11.93,579,0.398031,false,false,false,0
7387.18,1.17,23,0.165050,true,true,false,1
138.34,11.92,484,0.386463,true,false,false,0
276.29,13.26,863,0.558561,false,false,false,0
13887.73,2.93,40,0.168210,true,false,true,1
118.10,16.51,860,0.480430,true,false,false,0
79.62,16.30,601,0.425328,false,false,false,0
400.53,10.84,383,0.550864,true,false,false,0
383.93,18.70,502,0.419982,false,false,false,0
342.01,20.32,458,0.449764,false,true,false,0
31.77,16.25,567,0.547229,false,false,false,0
405.57,11.48,486,0.390140,true,false,false,0
134.54,20.45,936,0.586245,true,false,false,0
208.81,15.96,753,0.664685,false,false,false,0
122.63,14.53,616,0.329810,false,false,true,0
290.42,10.39,586,0.444465,false,false,false,0
345.29,18.55,1073,0.453895,false,false,false,0
13126.43,1.97,18,0.063745,true,false,false,1
7178.45,1.84,26,0.125649,true,true,false,1
141.98,15.06,605,0.538408,false,false,false,0
408.11,15.32,889,0.653542,false,true,false,0
224.44,9.76,1019,0.356556,false,false,false,0
309.94,7.33,386,0.308868,false,false,false,0
11281.22,4.21,57,0.183965,true,true,false,1
349.62,20.32,728,0.582234,false,false,false,0
100.48,7.43,649,0.352567,false,false,false,0
283.69,16.72,1056,0.478764,false,false,false,0
6637.92,2.04,64,0.153871,true,false,false,1
14.47,13.70,987,0.523929,true,false,false,0
5794.53,3.93,10,0.152838,true,true,false,1
111.78,17.20,837,0.411133,true,false,false,0
200.51,9.50,1026,0.558176,false,true,true,0
395.49,17.57,834,0.676731,false,false,false,0
309.35,12.11,828,0.651980,false,false,false,0
288.78,7.81,786,0.368934,false,false,false,0
137.49,19.54,480,0.686381,false,false,false,0
354.44,12.53,937,0.496936,false,false,false,0
268.47,13.68,380,0.631865,false,false,false,0
268.01,14.03,947,0.488456,false,false,false,0
6345.45,2.51,49,0.186531,true,true,true,1
11435.75,0.40,55,0.164177,false,false,false,1
366.38,16.49,1084,0.457145,true,false,false,0
6476.99,0.90,43,0.168440,true,true,false,1
12349.84,0.47,23,0.066431,true,true,false,1
5197.53,0.93,56,0.077019,true,true,false,1
176.97,14.10,713,0.499467,false,false,false,0
214.44,12.70,868,0.647712,false,false,false,0
14238.82,5.36,37,0.155951,true,true,false,1
346.62,17.60,914,0.336062,false,true,false,0
122.71,20.08,598,0.390798,true,false,false,0
156.63,9.87,932,0.534201,false,false,false,0
230.88,11.84,448,0.604887,true,false,false,0
231.98,11.46,779,0.410467,false,false,false,0
56.05,13.97,761,0.325275,false,false,false,0
8625.62,2.41,28,0.109971,false,false,false,1
7500.78,5.45,45,0.068292,false,false,false,1
7365.20,5.90,51,0.102835,true,false,false,1
5382.78,1.90,61,0.194241,true,true,false,1
55.53,7.78,959,0.353714,false,false,false,0
319.35,10.87,469,0.312040,false,true,false,0
304.66,15.00,685,0.687642,false,false,false,0
187.82,11.94,406,0.352605,false,false,false,0
16997.68,2.04,55,0.177769,true,false,true,1
10300.67,0.50,10,0.064928,true,false,true,1
290.16,9.01,585,0.453974,false,false,false,0
184.75,17.22,499,0.557242,false,false,false,0
148.85,9.09,440,0.578237,false,false,false,0
12704.40,0.72,66,0.110981,true,true,false,1
251.76,11.22,1093,0.393748,true,false,false,0
284.83,16.50,1080,0.355037,true,false,false,0
95.70,12.78,591,0.517085,false,false,false,0
70.44,7.53,551,0.392943,false,false,false,0
9195.24,2.45,68,0.129282,true,true,false,1
109.02,20.25,754,0.658978,false,false,false,0
376.77,20.25,552,0.383986,false,false,false,0
307.23,14.46,723,0.526037,false,false,false,0
199.33,13.89,553,0.335244,false,false,false,0
142.79,12.15,377,0.448142,false,false,false,0
10814.60,1.55,13,0.096692,true,false,false,1
6649.76,5.10,16,0.056392,true,false,false,1
185.39,11.35,1018,0.649064,false,false,false,0
323.24,14.41,1065,0.437349,true,false,false,0
198.71,14.41,904,0.607340,false,false,false,0
15794.23,0.88,19,0.191066,true,false,true,1
271.41,10.85,426,0.300127,false,false,false,0
232.49,8.39,542,0.691673,false,false,false,0
107.23,16.72,457,0.603289,false,false,false,0
365.24,8.10,506,0.609116,false,true,false,0
5806.97,3.63,26,0.180913,true,true,false,1
14660.89,0.97,50,0.059175,true,false,true,1
13239.06,3.51,14,0.185398,true,true,false,1
11145.23,1.30,33,0.144205,false,false,true,1
292.73,20.63,742,0.536947,false,false,false,0
333.47,15.56,798,0.537579,false,false,false,0
13.49,14.66,1046,0.658650,false,false,false,0
96.41,20.52,949,0.538363,false,false,false,0
277.34,9.37,621,0.522865,false,false,false,0
109.10,13.92,620,0.516849,false,false,false,0
216.08,13.09,942,0.557551,true,false,false,0
13136.57,1.31,59,0.161558,false,false,true,1
300.07,17.56,693,0.492544,false,false,false,0
90.02,10.99,1045,0.558972,true,true,false,0
12187.95,3.98,45,0.148763,false,false,false,1
18616.66,0.53,62,0.172813,true,false,true,1
142.85,16.74,892,0.532144,false,false,false,0
13464.78,5.66,18,0.188888,true,false,false,1
326.62,17.83,668,0.348284,false,false,false,0
284.86,18.03,951,0.320484,false,false,false,0
298.82,10.03,405,0.398840,false,false,false,0
10218.57,5.67,54,0.127793,false,true,false,1
18954.56,2.62,47,0.055715,false,true,false,1
170.77,16.59,688,0.620846,false,false,false,0
265.29,8.46,581,0.398878,false,false,false,0
202.98,14.05,428,0.575641,false,false,false,0
69.26,8.05,877,0.376072,false,true,false,0
301.66,7.42,991,0.463463,false,false,false,0
18742.63,1.44,28,0.194998,true,true,false,1
361.94,15.90,861,0.583468,false,false,false,0
191.39,7.23,669,0.602747,true,false,false,0
330.59,10.98,1090,0.344361,false,false,false,0
356.36,14.06,1039,0.693660,true,false,false,0
7952.46,1.34,52,0.185643,false,true,true,1
287.43,13.10,998,0.302655,false,false,false,0
42.66,20.02,650,0.303027,false,false,false,0
5324.89,4.62,44,0.173549,false,false,false,1
19344.03,1.37,49,0.159736,false,true,false,1
260.38,12.56,883,0.347603,false,false,false,0
90.93,9.57,794,0.498494,true,false,false,0
358.45,10.71,391,0.580258,true,true,false,0
381.24,19.54,387,0.412899,false,false,false,0
59.51,14.36,434,0.346969,false,false,false,0
202.37,15.62,1019,0.386649,false,false,false,0
306.32,14.87,895,0.530425,false,false,false,0
139.28,19.48,1061,0.598836,false,false,false,0
5086.66,3.26,53,0.054087,true,false,false,1
331.03,9.48,596,0.576940,false,false,false,0
243.96,11.85,769,0.699667,false,true,false,0
12729.99,5.19,48,0.068007,true,false,false,1
266.48,8.77,475,0.513377,false,false,false,0
90.95,14.48,853,0.650229,false,false,false,0
338.67,20.70,577,0.407950,false,false,false,0
220.65,17.25,1054,0.616107,false,true,false,0
296.23,9.93,1062,0.600616,false,false,false,0
121.84,14.65,475,0.595851,false,true,false,0
12698.58,5.88,30,0.166016,true,false,false,1
48.45,7.65,1017,0.473460,false,false,false,0
36.06,9.63,897,0.566214,false,false,false,0
156.21,17.19,649,0.387212,true,false,false,0
140.40,9.98,551,0.329709,false,false,false,0
154.36,18.92,1063,0.445908,false,false,false,0
37.62,18.19,728,0.685745,true,true,false,0
19890.36,3.23,58,0.188506,false,true,false,1
17474.88,5.09,53,0.156667,false,true,false,1
109.88,16.06,1078,0.549915,false,false,false,0
6321.13,1.42,69,0.194984,false,false,true,1
18728.14,2.10,57,0.173851,true,true,false,1
391.49,19.44,854,0.324968,false,false,false,0
18.96,12.96,637,0.694600,false,false,false,0
258.09,8.29,687,0.385914,false,false,false,0
179.67,14.25,560,0.554122,false,false,false,0
15332.41,0.79,18,0.057471,true,true,true,1
317.29,19.92,379,0.362721,false,false,false,0
127.63,18.30,843,0.492666,false,false,false,0
17401.01,3.91,39,0.050847,true,true,false,1
398.65,10.38,795,0.622349,false,false,false,0
300.21,11.20,796,0.660075,false,false,false,0
236.13,18.17,441,0.476422,false,false,false,0
328.16,7.01,736,0.663860,false,false,false,0
104.21,13.25,602,0.463056,false,false,false,0
136.99,9.39,652,0.367104,false,false,false,0
16.45,16.25,491,0.680920,false,false,false,0
39.31,13.50,564,0.548732,false,false,false,0
41.01,19.10,885,0.487975,false,false,false,0
21.07,12.99,796,0.551317,false,false,false,0
401.07,20.83,607,0.379976,false,false,false,0
339.98,9.10,695,0.465020,false,false,false,0
254.52,14.99,830,0.483147,false,false,false,0
14718.15,3.19,63,0.118213,false,true,true,1
377.15,10.67,1086,0.545046,false,false,false,0
261.37,13.54,461,0.633307,false,false,false,0
134.20,7.53,1051,0.459394,true,false,false,0
187.08,8.24,1079,0.407014,true,false,false,0
9699.42,0.08,15,0.131569,true,false,false,1
6854.73,5.72,64,0.185712,true,true,false,1
92.51,20.40,719,0.541566,false,false,false,0
16.60,12.68,582,0.681516,true,false,false,0
14865.37,2.98,56,0.051433,false,false,false,1
27.71,15.17,618,0.358854,false,false,false,0
83.08,18.74,367,0.688111,true,false,false,0
326.76,15.33,458,0.318169,true,false,false,0
232.25,17.29,601,0.656673,true,true,false,0
170.51,13.46,574,0.675015,false,false,false,0
99.57,19.75,560,0.353849,false,false,false,0
97.67,20.48,984,0.324684,true,false,false,0
111.62,17.55,737,0.483796,false,true,false,0
91.66,20.67,997,0.547259,false,false,false,0
8847.47,1.01,24,0.070223,true,true,false,1
154.17,12.66,828,0.552196,true,false,false,0
156.23,13.24,1032,0.547628,true,false,false,0
327.69,15.32,648,0.643764,false,false,false,0
62.22,10.36,1008,0.483212,false,false,false,0
35.10,10.35,913,0.478146,true,true,false,0
368.78,18.12,648,0.414475,false,false,false,0
271.29,16.68,376,0.639830,false,false,false,0
403.54,18.76,586,0.454385,false,false,false,0
301.53,8.43,575,0.455865,false,false,false,0
42.20,16.05,424,0.394333,true,false,false,0
113.11,16.01,810,0.459483,false,false,false,0
10851.62,4.59,20,0.191423,true,false,false,1
168.27,7.07,1038,0.422316,false,false,false,0
19680.32,3.00,11,0.060794,true,true,false,1
90.75,20.48,1004,0.641850,false,false,false,0
327.77,14.71,683,0.510638,false,false,false,0
151.89,18.86,781,0.468664,false,false,false,0
352.48,19.01,1065,0.325472,false,false,false,0
67.38,13.80,728,0.501961,false,false,false,0
30.92,13.61,494,0.603799,true,false,false,0
5155.15,3.33,10,0.106820,false,true,false,1
35.38,8.65,944,0.416567,true,false,false,0
40.14,12.14,699,0.585714,true,true,false,0
9095.10,1.97,63,0.118409,false,true,false,1
327.06,19.14,913,0.579677,false,false,false,0
319.54,18.62,895,0.642410,false,false,false,0
95.21,14.39,1033,0.352134,false,false,false,0
25.18,9.23,985,0.549393,false,false,false,0
77.98,11.60,996,0.455641,false,false,false,0
12864.45,4.04,18,0.074705,true,true,false,1
12484.86,2.52,61,0.078732,true,true,false,1
291.64,12.02,627,0.642076,false,false,false,0
243.25,19.02,867,0.656906,false,false,false,0
139.51,8.01,802,0.589692,false,false,false,0
112.77,15.77,883,0.392869,false,false,false,0
108.67,16.43,904,0.371699,false,false,false,0
134.09,7.95,1045,0.369338,false,false,false,0
19190.11,4.02,35,0.055888,true,true,false,1
17870.75,1.39,34,0.063565,true,true,false,1
306.93,11.12,728,0.529729,false,false,false,0
346.95,18.42,529,0.627251,false,false,false,0
307.21,7.10,629,0.531162,false,false,false,0
5776.65,2.38,27,0.067986,true,false,false,1
17352.55,2.88,26,0.137513,true,false,false,1
67.30,20.09,658,0.526227,false,true,false,0
17553.75,5.13,11,0.133711,true,false,false,1
353.69,19.81,374,0.463967,false,false,false,0
12210.30,0.69,34,0.107579,true,true,true,1
19296.19,5.84,66,0.176405,true,true,true,1
146.34,7.53,938,0.676640,true,false,false,0
50.10,18.42,679,0.496125,true,true,false,0
246.25,14.56,430,0.428298,false,false,false,0
19533.84,1.32,40,0.145948,true,true,true,1
286.10,16.45,566,0.623745,false,false,false,0
10649.29,2.92,14,0.116691,true,true,false,1
57.39,17.55,682,0.556275,false,true,false,0
400.87,10.77,412,0.656892,true,false,false,0
167.51,19.76,666,0.307802,false,true,false,0
66.52,16.21,1022,0.405161,true,true,false,0
5028.16,3.25,27,0.126953,true,true,false,1
13634.55,5.20,42,0.177759,true,true,false,1
206.02,12.20,863,0.302350,false,false,true,0
119.16,8.02,770,0.350956,false,true,false,0
5376.15,3.42,14,0.124234,true,true,true,1
178.02,14.78,560,0.697452,false,true,false,0
343.85,15.27,864,0.375986,false,false,false,0
112.77,7.45,757,0.608093,false,false,false,0
14781.14,4.84,51,0.085730,true,true,false,1
156.36,11.15,949,0.409762,false,true,false,0
167.22,11.56,394,0.561264,false,false,false,0
172.83,9.03,949,0.593077,true,false,false,0
87.60,7.07,985,0.646779,false,true,false,0
402.73,8.18,376,0.300318,false,false,false,0
303.49,15.82,587,0.592748,false,false,false,0
18692.82,5.25,32,0.156512,true,true,false,1
16512.20,3.21,62,0.170094,false,true,false,1
210.12,15.50,433,0.357557,false,false,false,0
11984.27,0.43,13,0.130450,false,true,false,1
240.02,13.31,763,0.461384,false,false,false,0
194.25,13.42,877,0.510472,false,false,false,0
246.75,15.28,973,0.669120,false,false,false,0
376.63,7.64,501,0.590782,false,false,false,0
366.79,15.68,838,0.623374,false,false,false,0
15710.84,4.21,20,0.121332,false,true,false,1
216.37,18.85,1074,0.487598,false,false,false,0
406.21,15.01,1045,0.464710,false,true,false,0
313.16,15.58,414,0.424107,true,false,false,0
97.35,10.56,1036,0.393638,false,false,false,0
7260.96,1.64,60,0.191604,false,false,true,1
23.01,17.03,727,0.657868,false,false,false,0
381.46,9.81,886,0.615356,false,false,false,0
145.02,16.17,811,0.538398,false,true,false,0
17570.76,4.37,16,0.090527,true,true,false,1
5644.01,3.44,42,0.112311,false,true,true,1
293.25,14.56,440,0.541077,false,false,false,0
114.52,17.81,967,0.610179,false,false,false,0
5499.98,0.10,55,0.082496,true,true,false,1
8798.12,4.40,65,0.100303,false,true,false,1
8041.43,3.39,26,0.111422,true,false,true,1
9706.35,0.62,44,0.100429,true,true,false,1
132.66,10.84,843,0.674525,false,true,false,0
18990.04,0.94,63,0.084940,true,false,false,1
5043.38,1.07,56,0.188011,true,false,false,1
254.38,9.84,565,0.444378,false,false,false,0
9370.87,1.40,61,0.081379,true,true,false,1
136.14,7.97,506,0.678160,false,false,false,0
42.28,19.16,416,0.604984,false,false,false,0
388.87,9.77,520,0.449625,false,true,false,0
62.90,14.20,625,0.419509,false,false,false,0
93.64,19.64,622,0.328016,false,false,false,0
31.46,17.22,687,0.657041,false,false,false,0
16226.32,5.84,13,0.089324,true,true,false,1
15429.22,0.94,54,0.129465,true,true,false,1
268.55,19.81,556,0.433171,false,false,false,0
6200.62,2.80,51,0.195940,true,false,false,1
84.06,17.65,998,0.391589,false,false,false,0
222.77,17.36,1013,0.527030,false,false,false,0
76.76,7.50,931,0.540117,false,false,false,0
140.49,15.73,989,0.562367,true,false,false,0
108.38,13.20,610,0.476409,false,false,false,0
105.11,11.22,666,0.535625,false,false,false,0
179.94,12.94,854,0.650846,false,false,false,0
399.38,7.91,905,0.690069,false,false,true,0
225.66,20.16,905,0.458538,false,false,false,0
267.72,7.83,903,0.573570,false,false,false,0
10333.15,5.04,65,0.122861,false,true,false,1
396.98,11.30,1028,0.373132,false,true,false,0
286.91,12.19,650,0.444495,false,false,false,0
6810.44,4.93,23,0.132649,false,true,false,1
60.89,20.07,1053,0.647711,false,false,false,0
12667.59,0.00,25,0.118224,true,true,false,1
392.39,18.61,759,0.432362,false,false,false,0
196.60,7.35,596,0.449582,false,false,false,0
396.58,10.57,665,0.594200,false,false,false,0
11429.32,0.04,52,0.168343,false,false,true,1
294.71,9.25,1042,0.328880,false,false,true,0
5707.58,4.79,44,0.123535,true,true,false,1
389.08,11.40,369,0.414749,false,false,false,0
103.61,14.35,837,0.694914,false,false,false,0
205.37,15.30,938,0.415744,false,false,false,0
176.69,13.36,949,0.332907,false,false,false,0
13413.74,1.89,63,0.074259,true,false,false,1
12577.94,0.83,27,0.187997,true,false,false,1
57.15,10.52,450,0.405440,true,false,false,0
7129.12,4.35,43,0.051201,false,true,false,1
13912.77,1.88,64,0.117453,true,true,false,1
